id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7876,Небо Одно,79097535050,,https://ust-labinsk.nebo-odno.ru/,op.nebo1@gmail.com,Усть-Лабинск,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
7884,monument23.ru,79181555554; 79821903475,г  памятников с 3,https://monument23.ru/,monymentbelora@mail.ru,Усть-Лабинск,,A,43,Yes,wordpress,No,https://t.me/+79181555554,,
7874,Лабинск Элит Камень,79186773555; 79183555505,,https://labinsk.elitestones.ru/,nrezepin@yandex.ru,Усть-Лабинск,,B,38,Yes,wordpress,No,https://t.me/elitcamen,https://vk.com/web_stuff,
7878,labinsk.memorygranit.ru,79180200986; 79824811620,,https://labinsk.memorygranit.ru/,memorygranit@mail.ru,Усть-Лабинск,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
7880,ustlabinsk.monument-stone.ru,79282824263; 79184455026,,https://ustlabinsk.monument-stone.ru/,maik.24.04.1990@mail.ru,Усть-Лабинск,,B,38,Yes,wordpress,No,https://t.me/+79282824263,,
7885,lugansk.xn--80apbncqgt0j.xn--p1ai,79185568320; 79892201077; 79882409747; 79618559078; 79618555089,,https://lugansk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Усть-Лабинск,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
7879,Данила-Мастер,79022234935; 79022202052,,https://ust-labinsk.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Усть-Лабинск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=ust-labinsk,
7883,Ритуалум ritualum.ru,79182792792; 72375001374,,https://ritualum.ru/,krd.ritualum@yandex.ru; zakaz.ritualum.new@ya.ru; ritualum@yandex.ru; zakaz@ritualum.ru,Усть-Лабинск,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
7877,ustlabinsk.monument123.ru,79888882047,,https://ustlabinsk.monument123.ru/,monument-23@mail.ru,Усть-Лабинск,,B,33,Yes,wordpress,No,https://t.me/+79888882047,,
7882,pamyatnik-yug.ru,79184585519,,https://pamyatnik-yug.ru/,pamyatnik-yug@yandex.ru; Pamyatnik-yug@yandex.ru,Усть-Лабинск,,B,33,Yes,wordpress,No,https://t.me/+79184585519,,
7875,altair-master.ru,79183999916,,https://altair-master.ru/,aldan05@yandex.ru,Усть-Лабинск,,B,30,Yes,unknown,No,https://t.me/+79183999916,,
7881,mramor-granit.clients.site,79183557332,,https://mramor-granit.clients.site/,,Усть-Лабинск,,B,25,Yes,unknown,No,https://t.me/+79183557332,,
