id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1454,Каменный Бобер,79257957677; 74956644121,"Вокзальная ул., 30, корп. 1, Великие Луки, Великие Луки",http://kam-bober.ru/,Kambober777@yandex.ru; kambober777@yandex.ru,Великие Луки,,A,45,No,unknown,No,https://t.me/79257957677,,https://api.whatsapp.com/send?phone=79257957677
1462,РитМаркет,79956014798; 79952403040,"ул. Дружбы, 24, Великие Луки, Великие Луки",,,Великие Луки,,B,35,No,unknown,No,https://t.me/+79956014798,https://vk.com/ritmarket_ru,https://api.whatsapp.com/send?phone=79952403040
1468,Данила-Мастер,79022234935; 79022202052,,https://velikiye-luki.danila-master.ru/,dm-on-line@danila-master.ru; mail@danila-master.ru; info@danila-master.ru,Великие Луки,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=velikiye-luki,
1469,Благоустройство могилы в Великих Луках,74954143223,,https://velikie-luki.guravli.agency/,,Великие Луки,,B,35,Yes,bitrix,No,https://t.me/+74954143223,https://vk.com/guravli.agency,
1452,Память,79117912345,"ул. Карла Либкнехта, 5Б, Великие Луки, Великие Луки",http://память-ссб.рф/,van9311077@mail.ru,Великие Луки,,B,30,No,unknown,No,https://t.me/+79117912345,,
1461,Гранит мастерская,79113540009; 79113999919; 79009904050; 79113662080; 79118957062; 79052381648,"182113, Псковская обл., Великие Луки г., ул. Некрасова, 3/31, Великие Луки",https://velikie-luki.ya60.ru/,,Великие Луки,,B,30,No,unknown,No,https://t.me/+79113540009,https://vk.com/pamiatniki_velikieluki,
1456,Вечность,79118840118,"просп. Гагарина, 57, Великие Луки, Великие Луки",http://ritualgranit.net/,volkov.vechnost@yandex.ru,Великие Луки,,B,27,No,unknown,No,https://t.me/+79118840118,https://vk.com/vluki_pamiatniki,
1457,Ритуал-Сервис,79113543323,"ул. Дьяконова, 56, Великие Луки, Великие Луки",https://www.ritual-vluki.ru/,,Великие Луки,,B,25,No,unknown,No,https://t.me/+79113543323,,
1464,Сенека,79095750371,"ул. Дьяконова, 10, Великие Луки, Великие Луки",http://seneka-vl.ru/,,Великие Луки,,B,25,No,unknown,No,https://t.me/+79095750371,,
1467,Изготовление памятников на могилу в Великие Луки,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://velikie-luki.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Великие Луки,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
1458,Троя,78115371682,"Золотковская ул., 2, Великие Луки, Великие Луки",,,Великие Луки,,C,20,No,unknown,No,https://t.me/+78115371682,,
1459,Радоница,79113998020,"ул. Карла Либкнехта, 3, Великие Луки, Великие Луки",,,Великие Луки,,C,20,No,unknown,No,https://t.me/+79113998020,https://vk.com/public214775888,
1460,Радоница мастерская,78115355252,"ул. Дьяконова, 4, Великие Луки, Великие Луки",,,Великие Луки,,C,20,No,unknown,No,https://t.me/+78115355252,,
1463,Пантеон,78115362681,"ул. Антонова, 40, Великие Луки, Великие Луки",,,Великие Луки,,C,20,No,unknown,No,https://t.me/+78115362681,,
