id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1472,Рос ритуал сервис,78124267070; 78162558888; 79119278998; 78123892833; 70281002000; 74537452510; 70281080350,"ул. Зелинского, 10, Великий Новгород, Великий Новгород",https://velikij-novgorod.ritualgranit.ru/,spb@rosritualservice.ru; pmk-granit@yandex.ru,Великий Новгород,,A,50,Yes,opencart,No,https://t.me/+79119278998,,https://api.whatsapp.com/send?phone=79119278998
1476,Карельский гранит,79022836034; 79116000330,"д. Новая Мельница, 54, Великий Новгород",https://karel-gran.ru/,pro@redsign.ru; granitkarelsky@yandex.ru,Великий Новгород,,A,45,No,bitrix,No,https://t.me/+79022836034,https://vk.com/karelsky_granit,
1495,Память,78162909603; 70281005510,"д. Новая Мельница, 69А, Великий Новгород",http://pd-pamyat.ru/,info@timeweb.ru; abuse@timeweb.ru; partner@timeweb.ru; billing@timeweb.ru; noc@timeweb.ru; marketing@timeweb.ru; k.izosimova@timeweb.ru,Великий Новгород,,A,45,No,bitrix,No,https://telegram.me/timeweb_bot,https://vk.com/pdpamyat,
1503,Мастерская по изготовлению памятников Великий Новгород,78123892785; 79517237970,,https://memorialgarant.ru/,,Великий Новгород,,A,43,Yes,tilda,Yes,https://t.me/Ros_Ritual_Service,,
1471,Военно-мемориальная компания гранитная мастерская,78162606535; 78162901060; 79110401423; 79116006535; 79116010012; 78162700008; 74957726644; 74959977398; 74956912990; 74959605333; 74957300006; 74959330001; 74956998918; 74957805991; 74957839213; 74952281880; 74956950158; 74954115341; 74957711070; 74951070910; 74956166626; 74956916145; 74957397653; 74956287922; 74992386061; 74957898019; 79857783757; 74957777100; 74957717070; 74953892111; 74957796906; 74953660187; 74952320160; 74953524981; 74991727692; 74959798877; 79267765678; 79267765680; 79250111375; 79031739507; 74952580042; 79267765729; 79055083828; 79267765682; 79031735819,"ул. Мусы Джалиля-Духовская, 26/2, район Софийская сторона, Великий Новгород, Великий Новгород",https://www.plan1.ru/,info@danila-master.ru; mail@danila-master.ru; your@email.com; welcome3000@list.ru,Великий Новгород,,A,40,Yes,unknown,No,https://t.me/+78162606535,https://vk.com/club51121008,
1473,Лэнд сеть ритуальных агентств,79116001730; 78162770249; 78162770650; 79116241311; 78162230099; 78162601730,"просп. Александра Корсунова, 34, корп. 3, Великий Новгород, Великий Новгород",https://landnov.ru/,,Великий Новгород,,A,40,No,unknown,No,https://t.me/+79116001730,,https://api.whatsapp.com/send?phone=79116001730
1475,Ритуал,79633693499,"ул. Павла Левитта, 16, корп. 1, район Колмово, Великий Новгород, Великий Новгород",https://ritual-prospekt-aleksandra-korsunova.clients.site/,,Великий Новгород,,B,35,No,unknown,No,https://t.me/89633693499,,https://api.whatsapp.com/send?phone=79633693499
1478,Гранитная мастерская,79212010888; 79539034790; 79539034788,"ул. Кочетова, 8, Западный район, Великий Новгород, Великий Новгород",,,Великий Новгород,,B,35,No,unknown,No,https://t.me/+79212010888,https://vk.com/granit.novgorod,https://api.whatsapp.com/send?phone=79212010888
1481,Лидер,79646900105,"д. Новая Мельница, 127Б, Великий Новгород",,,Великий Новгород,,B,32,No,unknown,No,https://t.me/ritualgoodsopt,https://vk.com/ritualgoods,https://api.whatsapp.com/send?phone=79646900105
1499,Изготовление гранитных памятников на могилу в Великом Новгороде - Заказать памятник на кладбище по цене от компании Билкам,73833830392; 73517009492,,https://velikij-novgorod.bilkam.ru/,sales@bilkam.ru,Великий Новгород,,B,30,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
