id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1546,Магазин Березка,73436841163; 73432071163; 79122003946; 73432061163; 75628752536; 79122473022,"ул. Петрова, 51, Верхняя Пышма, Верхняя Пышма",http://www.memorial-vp.ru/,,Верхняя Пышма,,A,50,No,bitrix,No,https://t.me/+73436841163,https://vk.com/club204038831,https://api.whatsapp.com/send?phone=791220039460901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1550,Памятники,79000388989; 73432698989,"ул. Александра Козицына, 1, Верхняя Пышма, Верхняя Пышма",http://www.2698989.ru/,,Верхняя Пышма,,A,47,No,tilda,No,https://t.me/StGRANIT,https://vk.com/st.granit,https://api.whatsapp.com/send?phone=790003889890901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1549,Мастерская Грааль,79861251187; 79826713554; 79138027898; 79138292211,"ул. 40 лет Октября, 27, Верхняя Пышма, Верхняя Пышма",https://graal-pamyatniki.ru/,anikron2211@yandex.ru; masterskaya.pamyatniki@yandex.ru,Верхняя Пышма,,A,45,No,unknown,No,https://t.me/+79826713554,https://vk.com/graalgraver,https://api.whatsapp.com/send?phone=79826713554&amp;text=
1547,Уральский Гравировальный центр,79226007270,"ул. Сыромолотова, 133, Верхняя Пышма, Верхняя Пышма",https://uralgrave.ru/,portret@uralgraver.ru; uralgrave@yandex.ru,Верхняя Пышма,,A,40,No,unknown,No,https://t.me/+79226007270,,https://api.whatsapp.com/send?phone=792260072700901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1554,Обелиск,79506342623; 79221791719; 79920247037; 73438557037,"ул. Кривоусова, 20А, Верхняя Пышма, Верхняя Пышма",http://obelisk-ural.ru/,info@obelisk-ural.ru,Верхняя Пышма,,B,39,No,unknown,No,https://t.me/Obelisk_Ural,https://vk.com/obeliskural,
1553,Уральская похоронная компания,79221815102; 73432472848,"Успенский просп., 101, Верхняя Пышма, Верхняя Пышма",https://vpyshma.ritual-upk.ru/,info@ritual-upk.ru,Верхняя Пышма,,B,38,No,wordpress,No,https://t.me/+79089276483,,
1548,Похоронная служба,79122254400; 73436844982,"ул. Уральских Рабочих, 32, Верхняя Пышма, Верхняя Пышма",https://ritualvp.ru/,,Верхняя Пышма,,B,30,No,unknown,No,https://t.me/+79122254400,https://vk.com/ritual54400,
1551,Южный салон ритуальных услуг,79122644227; 73436877181; 79049838487,"ул. Калинина, 68А, Верхняя Пышма, Верхняя Пышма",,,Верхняя Пышма,,B,25,No,unknown,No,https://t.me/+79122644227,,
1555,ВП-Ритуал,79120451213,"ул. Менделеева, 23, Верхняя Пышма, Верхняя Пышма",https://www.vp-ritual.com/,,Верхняя Пышма,,C,22,No,unknown,No,https://t.me/+79120451213,,
1560,Изготовление памятников из гранита в Верхняй Пышме,,,https://www.wtconf.ru/,,Верхняя Пышма,,C,22,No,unknown,No,https://t.me/bigdom3,,
1552,Магазин ритуальных принадлежностей Граф ритуальный магазин,79126165329,"ул. Сыромолотова, 119А, Верхняя Пышма, Верхняя Пышма",,,Верхняя Пышма,,C,20,No,unknown,No,https://t.me/+79126165329,https://vk.com/ritual96,
