id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1585,Сага Артель,74959726758; 79253109558; 79015466758,"д. Тарычёво, 70, Видное",http://www.saga-art.ru/,info@saga-art.ru,Видное,,A,53,Yes,wordpress,No,https://t.me/+79015466758,,https://api.whatsapp.com/send?phone=79015466758
1586,Horonim.ru,74993255061; 74999949913; 77460031263,"Заводская ул., 17/2, Видное, Видное",https://www.horonim.ru/,info@horonim.ru,Видное,,A,50,No,wordpress,No,https://t.me/Ritualnye_uslugil,,https://api.whatsapp.com/send?phone=7967288626209011800018905008052849650504844080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1587,Гранитная мастерская Булатниковское кладбище,79687841131,"Московская область, Ленинский городской округ, Булатниковское кладбище, Видное",https://bulatnikovskoe.ru/,info@bulatnikovskoe.ru,Видное,,A,50,No,bitrix,No,https://t.me/+79687841131,,https://api.whatsapp.com/send?phone=796878411310901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1598,Монумент,74959724607; 79015464607,,https://monument-nd.ru/,monument-nd@bk.ru,Видное,,A,49,Yes,unknown,No,https://t.me/monument_nd,https://vk.com/monument_n,https://api.whatsapp.com/send?phone=79015464607&text=&source=&data=
1588,Восемь Ангелов,79999736026,"Берёзовая ул., 8А, Видное, Видное",https://grob-venki.ru/,ritual@8angelov.bizml.ru; ritual@8angelov.bizml,Видное,,A,43,No,tilda,No,https://t.me/+79999736026,,https://api.whatsapp.com/send?phone=79999736026
1589,Много Памятников,79998881555; 79850501550,"Каширское шоссе, 26-й километр, 28, Видное, Видное",http://mnogopam.ru/,mnogopam@list.ru,Видное,,A,42,No,wordpress,No,https://t.me/mnogopam,https://vk.com/mnogopam,
1596,Град-Экс гранитная мастерская,74951096677; 74951205544,"просп. Ленинского Комсомола, 35, Видное, Видное",,,Видное,,A,42,Yes,unknown,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=7925444400009011800018905008052849617015006080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1592,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Россия, Московская область, Ленинский городской округ, Видное, Видное",https://pamyatniki.moscow/,info@pamyatniki.moscow,Видное,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
1599,"Гранитная мастерская ""Евростела""",79253813308; 79259813308; 79259883308,,https://eurostela.ru/,zakaz@eurostela.ru,Видное,,B,38,Yes,wordpress,No,https://t.me/+79253813308,https://vk.com/id1023221806,
1594,Торгово-Похоронный Дом Ритуал,79255557471; 79150569418,"Ольховая ул., 1, Видное, Видное",,,Видное,,B,35,No,unknown,No,https://t.me/+79255557471,,https://api.whatsapp.com/send?phone=79255557471
1602,Изготовление памятников в Видном - «Ритуалум»,79182792792; 72375001374,,https://vidnoe.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Видное,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
1601,Памятники на могилу под заказ — Видное,74993676027; 74993676063; 70281060289,,https://mkv.ru/,info@mkv.ru,Видное,,B,25,No,bitrix,No,https://t.me/+74993676027,,
1603,Изготовлние памятников Видное от 6720 р | мастерская ИП Булыка,74956463504; 79689385883,,https://ipb-memorial.ru/,,Видное,,B,25,No,unknown,No,https://t.me/+74956463504,,
1604,Видновское кладбище гранитная мастерская Ритуал | Видновское кладбище ...,74996771915,,https://vidnovskoekladbishche.ru/,,Видное,,C,23,No,wordpress,No,https://t.me/+74996771915,,
1600,Изготовление памятников на могилу - Видное,79031543454,,https://www.гранит-восток.рф/,89031543454@mail.ru,Видное,,D,10,No,unknown,No,https://t.me/+79031543454,https://vk.com/granitvostok,
