id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1640,ГРАНИТ-ИР,78672519218; 79187056699,,https://granitir.e-osetia.ru/,granit-ir2007@yandex.ru,Владикавказ,,A,42,No,bitrix,No,https://t.me/vsiaosetia,https://vk.com/vsiaosetia,
1622,Алания Стоун,79188219999; 78672775555,"ул. Карла Либкнехта, 2Е, село Михайловское, Владикавказ",,,Владикавказ,,B,37,No,unknown,No,https://t.me/alania_stone,,https://api.whatsapp.com/send?phone=791882199990901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1619,Сирень салон ритуальных услуг,79969410055; 78672516545,"просп. Коста, 212, Владикавказ, Владикавказ",,,Владикавказ,,B,35,No,unknown,No,https://t.me/+79969410055,,https://api.whatsapp.com/send?phone=799694100550901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1639,Изготовление памятников во Владикавказе - «Ритуалум»,79182792792; 72375001374,,https://vladikavkaz.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Владикавказ,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
1620,Контакты,79888397522,"Крайняя ул., 2А, село Гизель, Владикавказ",https://granit-petra.ru/,petra_vld@mail.ru,Владикавказ,,B,33,No,wordpress,No,https://t.me/+79888397522,,
1618,Rakovinaray,79188289925,"ул. Бимболата Ватаева, 69, Владикавказ, Владикавказ",,,Владикавказ,,B,30,No,unknown,No,https://t.me/+79188289925,https://vk.com/lalitch,https://api.whatsapp.com/send?phone=79188289925
1628,Гранит дизайн,79188317831; 79282351201; 79188243589; 79289354727; 79286852130; 78672538792,"Республика Северная Осетия — Алания, Владикавказ, улица Пожарского, Владикавказ",https://vladikavkaz.pamyatnik-granit.site/,,Владикавказ,,B,30,No,unknown,No,https://t.me/+79188317831,,
1621,Влад Гранит,79288612229,"1-я Промышленная ул., 1, Владикавказ, Владикавказ",https://vlad-granit.ru/,,Владикавказ,,B,25,No,unknown,No,https://t.me/+79288612229,,
1625,Гранит,79188352431; 78672230427; 79094757894,"Россия, Республика Северная Осетия — Алания, Пригородный район, село Михайловское, Р-217, подъезд к Владикавказу, 13-й километр, Владикавказ",,,Владикавказ,,B,25,No,unknown,No,https://t.me/+79188352431,,
1631,Памятники,79284839995; 79672973953; 78672973953; 79094733383; 79188273953; 79888776347,"Россия, Республика Северная Осетия — Алания, Владикавказ, Карцинское шоссе, Владикавказ",,,Владикавказ,,B,25,No,unknown,No,https://t.me/+79284839995,,
1634,Владсервис,79188220411; 79284928078,"362025, Владикавказ, ул. Ватутина, 100, Владикавказ",,,Владикавказ,,B,25,No,unknown,No,https://t.me/+79188220411,,
1623,Диагрант,79188256989,"ул. Карла Либкнехта, 2Е, село Михайловское, Владикавказ",,,Владикавказ,,C,20,No,unknown,No,https://t.me/+79188256989,,
1624,Гранитный цех,79286892404,"ул. Грибоедова, 21, Владикавказ, Владикавказ",,,Владикавказ,,C,20,No,unknown,No,https://t.me/+79286892404,,
1626,Мемориал-С,78672977800,"просп. Коста, 93, Владикавказ, Владикавказ",,,Владикавказ,,C,20,No,unknown,No,https://t.me/+78672977800,,
1627,Изделия из камня,79187031454,"Карцинское ш., 9, Владикавказ, Владикавказ",,,Владикавказ,,C,20,No,unknown,No,https://t.me/+79187031454,https://vk.com/public148960293,
1629,Тамар,79280668925,"3-я Промышленная ул., 1А, Владикавказ, Владикавказ",,,Владикавказ,,C,20,No,unknown,No,https://t.me/+79280668925,,
1630,Лотос,79188301616,"просп. Коста, 216, Владикавказ, Владикавказ",,,Владикавказ,,C,20,No,unknown,No,https://t.me/+79188301616,,
1637,"Салаев С.А., ИП",79188227279,"Владикавказ, ул. Гадиева, 83, Владикавказ",,,Владикавказ,,C,20,No,unknown,No,https://t.me/+79188227279,,
