id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1649,Stonehenge,79209041992; 79065644499,"городской округ Владимир, Ленинский район, Владимир",http://stonehenge-33.ru/,16stonehenge33@yandex.ru,Владимир,,A,48,No,wordpress,No,https://t.me/yunees,,https://api.whatsapp.com/send?phone=892090419920901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1643,Смирнов-Гранит.рф,79011401195; 79990988888; 79040351767; 79038333378; 79038302172; 79607333874; 74922445559,"Владимир, микрорайон Юрьевец, микрорайон Институтский Городок, 30, Владимир",http://pamiatniki-ogrady.ru/,tai-na@mail.ru,Владимир,,A,45,No,unknown,No,https://t.me/+79011401195,,https://api.whatsapp.com/send?phone=79011401195
1645,Ритуал-93 похоронное бюро,79157778994; 79049558693; 79209355361; 79157778995; 74922373376; 79157778992; 79157957236; 79300314692,"ул. Чайковского, 3Е, Владимир, Россия, Владимир",https://www.vladmemorial.ru/,vladmemorial@mail.ru,Владимир,,A,45,No,unknown,No,https://t.me/+79157778994,https://vk.com/clubsalonkamnya33,https://api.whatsapp.com/send?phone=79065589994
1646,Дм салон камня,79056132249; 74922600320; 79004758793,"Большая Нижегородская ул., 71А, Владимир, Владимир",https://pamyatniki-vladimir.ru/,holoschap1@rambler.ru,Владимир,,A,45,No,joomla,No,https://t.me/79056132249,,https://api.whatsapp.com/send?phone=79056132249
1647,Камень Памяти,79014441119; 79092726890,"Большая Нижегородская ул., 80В, Владимир, Владимир",http://каменьпамяти.рф/,kamen.pamyati@mail.ru,Владимир,,A,45,No,unknown,No,https://t.me/Камень,https://vk.com/kamen_pamyati,https://api.whatsapp.com/send?phone=79014441119
1651,Владимирская мемориальная компания,74922602223; 79157979798; 79206204411; 79607311155; 79065591994; 74922251205; 74922373520; 79612569433,"Большая Нижегородская ул., 71, Владимир, Владимир",https://www.vmkvladimir.ru/,vmk.vladimir.rf@gmail.com,Владимир,,A,45,No,joomla,No,https://t.me/+79612569433,,https://api.whatsapp.com/send?phone=79206204411
1660,Центральная Похоронная Служба,78312304343; 78312002188,"ул. Горького, 5З, Владимир, Владимир",https://gos-cps.ru/,cps_nn@mail.ru,Владимир,,A,44,Yes,unknown,No,https://t.me/cps_nn52,,
1662,Арт Гранит,79038309323,"Большая Нижегородская ул., 71, Владимир, Владимир",http://www.artgranit33.ru/,zakaz@artgranit33.ru; mailto:zakaz@artgranit33.ru,Владимир,,A,44,No,unknown,No,https://t.me/artgranit33,http://vk.com/artgranit33,https://api.whatsapp.com/send?phone=790383093230901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1650,Город Мастеров салон камня,79042541946; 74922461945,"Мостостроевская ул., 3Б, Владимир, Владимир",http://granit-reka.com/,granit-reka@yandex.ru,Владимир,,A,42,No,joomla,No,https://t.me/+79042541946,http://vk.com/salonkamnya,https://api.whatsapp.com/send?phone=790425419460901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1685,Ritual Agency,79662010281,"Судогодское ш., 37, Владимир, Владимир",https://ritualagency.ru/,,Владимир,,A,42,Yes,unknown,No,https://t.me/mk_ritual,,https://api.whatsapp.com/send?phone=79669999000
1642,Данила-Мастер изготовитель памятников,74922495060; 79022234935; 79022202052; 76270004972; 76030400756; 79201306089; 79201306131,"просп. Ленина, 42А, Владимир, Владимир",https://vladimir.danila-master.ru/,olesya.zaharova@danila-master.ru; mail@danila-master.ru; info@danila-master.ru; valeria.manasova@danila-master.ru; svetlana.ponomareva@danila-master.ru,Владимир,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
1687,Гранит памяти,79678087675,,https://vladimir.granit-pamyati.ru/,office@granit-pamyati.ru,Владимир,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
1653,Бюро ритуальных услуг,79308381519; 79290288881; 79209328908; 70281041702,"Западная ул., 25В, посёлок Боголюбово, Владимир",https://suzdal.buroru.ru/,pkfritual@gmail.com; mailto:pkfritual@gmail.com; ooobru33@mail.ru,Владимир,,B,38,No,wordpress,No,https://t.me/+79308381519,https://vk.com/bru33,
1655,Пк-Мемориал,79190075661; 74922771741,"ул. Горького, 78, Владимир, Владимир",https://pk-memorial.ru/,pk-memorial@yandex.ru,Владимир,,B,38,No,wordpress,No,https://t.me/+79190075661,,
1663,Вечный камень,79209207090; 74991303747; 79037998286; 74957998286,"ул. Передний Боровок, 9, Владимир, Владимир",http://decorgranit.ru/,decorgranit@bk.ru,Владимир,,B,38,No,wordpress,No,https://t.me/+79687091050,,
1652,«ОБЕЛИСК» - гранитная мастерская,79036473676; 74922442647; 79066142660; 74922452714,"ул. Верхняя Дуброва, 4А, Владимир, Владимир",https://obeliskvladimir.ru/,info-obelisk@mail.ru,Владимир,,B,35,No,unknown,No,https://t.me/+79036473676,,
1656,Берёзка фотосалон,74922532289; 79209209389; 74922432333; 79209209416; 79209209327,"ул. Мира, 26, Владимир, Владимир",http://salonberezka.ru/,mail@salonberezka.ru,Владимир,,B,35,No,unknown,No,https://t.me/+74922532289,,
1657,Скол производственная компания,79307443377,"Владимир, посёлок РТС, 1, Владимир",http://skolstones.ru/,,Владимир,,B,35,No,unknown,No,https://t.me/+79307443377,,https://api.whatsapp.com/send?phone=793074433770901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1668,Ритуальное Агенство бюро ритуальных услуг,79018884050; 79028883050; 79028883060; 79807528346; 79101885000; 79101728439; 74924465205; 74924452423,"Большая Нижегородская ул., 71, Владимир, Владимир",http://ритуальныеуслуги33.рф/,ritual-a@yandex.ru,Владимир,,B,35,No,unknown,No,https://t.me/+79018884050,https://vk.com/id863800113,
1644,Ритуал-центр салон ритуальных услуг,79519111133; 74922370102; 79209260957; 79019920102; 79049551251,"Большая Нижегородская ул., 34, Владимир, Владимир",https://www.ritual-centr33.com/,vladimir33.dimitriy@yandex.ru,Владимир,,B,32,No,unknown,No,https://t.me/+79519111133,https://vk.com/ritualcentr33,
1686,pamyatniki.one,79028897288,"г. Владимир, ул. Луначарского",https://vladimir.pamyatniki.one/,vladimir@pamyatniki.one,Владимир,,B,32,No,unknown,No,https://t.me/pamyatnikione,https://vk.com/pamyatnikione,
1658,Память в камне,79056132828,"ул. Горького, 56, Владимир, Владимир",,,Владимир,,B,30,No,unknown,No,https://t.me/+79056132828,https://vk.com/public209180258,https://api.whatsapp.com/send?phone=790561328280901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1664,Grand мастерская камня,79042505222,"просп. Ленина, 42, Владимир, Владимир",https://pamyatnikigrand.ru/,ermostel@mail.ru,Владимир,,B,30,No,joomla,No,https://t.me/+79042505222,,
1665,ГранитМастер,79050565591,"ул. Комиссарова, 13, Владимир, Владимир",,,Владимир,,B,30,No,unknown,No,https://t.me/79050565591,https://vk.com/club228202879,https://api.whatsapp.com/send?phone=79050565591
1666,Камнетес33,79040344448,"просп. Ленина, 60, Владимир, Владимир",,,Владимир,,B,30,No,unknown,No,https://t.me/+79040344448,,https://api.whatsapp.com/send?phone=79040344448
1672,Обелиск33,74922462138; 79042584444; 74922600477,"ул. Погодина, 11, Владимир, Россия, Владимир",http://obelisk33.ru/,,Владимир,,B,30,No,unknown,No,https://t.me/+74922462138,,
1677,Гранитная мастерская Камнеруб,79050575763,"Добросельская ул., 207Б, Владимир, Владимир",http://kamenny-rub.ru/,89050575763@mail.ru,Владимир,,B,30,No,unknown,No,https://t.me/+79050575763,,
1648,Небеса,79209444343,"Большая Нижегородская ул., 2, Владимир, Владимир",http://ritual-nebesa.ru/,,Владимир,,B,25,No,unknown,No,https://t.me/+79209444343,,
1671,Цвет памяти,74922222540,"ул. Мира, 37, Владимир, Владимир",http://tsvet-pamyati.ru/,,Владимир,,B,25,No,unknown,No,https://t.me/+74922222540,,
1673,Ритуальные услуги,79040323028; 79042538989; 74922451727; 74922600899; 74922600399,"Вокзальная ул., 6, корп. 1, Владимир, Владимир",,,Владимир,,B,25,No,unknown,No,https://t.me/+79040323028,,
1675,Мастерская по изготовлению памятников,74922546199; 79056100070,"ул. Чайковского, 40А, Владимир, Владимир",,,Владимир,,B,25,No,unknown,No,https://t.me/+74922546199,,
1676,Стелла,79051495367; 79040397706; 79051419752,"Вокзальная ул., 23, Владимир, Владимир",,,Владимир,,B,25,No,unknown,No,https://t.me/+79051495367,,
1680,Студия камня,74922370215; 79209030215; 79101811037,"Ново-Ямская ул., 22/12, Владимир, Владимир",,,Владимир,,B,25,No,unknown,No,https://t.me/+74922370215,,
1674,Изготовление памятников,,"ул. Батурина, 28, Владимир, Владимир",,,Владимир,,C,22,No,unknown,No,https://t.me/izgotovleniepamyatnikov,,
1659,Винга,74922420822,"ул. Чайковского, 12/22, Владимир, Владимир",,,Владимир,,C,20,No,unknown,No,https://t.me/+74922420822,,
1661,Про. Память,79048570179,"просп. Ленина, 15, Владимир, Владимир",,,Владимир,,C,20,No,unknown,No,https://t.me/+79048570179,http://vk.com/pro.pamyat,
1669,Гранитная мастерская,79300333639,"ул. Сакко и Ванцетти, 39, Владимир, Владимир",,,Владимир,,C,20,No,unknown,No,https://t.me/+79300333639,,
1678,Карельские каменья,79036451962,"ул. Фейгина, 6/25, Владимир, Владимир",,,Владимир,,C,20,No,unknown,No,https://t.me/+79036451962,,
1681,Салон искусственных цветов,79040311817,"ул. Соколова-Соколёнка, 19Г, Владимир, Владимир",,,Владимир,,C,20,No,unknown,No,https://t.me/+79040311817,,
1684,Сталкер,79046556357,"Добросельская ул., 162, Владимир, Владимир",,,Владимир,,C,20,No,unknown,No,https://t.me/+79046556357,,
1689,Надгробный памятник из гранита и мрамора во Владимире. Изготовление 2 ...,,,https://vsepamyatniki33.ru/,Vladimir@vsepamyatniki.ru; office@vsepamyatniki.ru; vladimir@vsepamyatniki.ru,Владимир,,C,20,No,bitrix,No,,https://vk.com/vsepamyatniki,
1682,Изготовление памятников и надгробий,,"Владимирская область, Судогодский район, Владимир",,,Владимир,,D,5,No,unknown,No,,,
1683,Ритуальные принадлежности,,"Промышленный пр., 2, Владимир, Владимир",,,Владимир,,D,5,No,unknown,No,,,
1688,Гранитные памятники в Владимире: Купить горизонтальные надгробия со ...,,"г. Владимир , ул. Зеленая",https://personize.ru/,,Владимир,,D,3,Yes,wordpress,No,,,
