id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1649,Stonehenge,79209041992; 79065644499,"городской округ Владимир, Ленинский район, Владимир",http://stonehenge-33.ru/,16stonehenge33@yandex.ru,Владимир,,A,48,No,wordpress,No,https://t.me/yunees,,https://api.whatsapp.com/send?phone=892090419920901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1643,Смирнов-Гранит.рф,79011401195; 79990988888; 79040351767; 79038333378; 79038302172; 79607333874; 74922445559,"Владимир, микрорайон Юрьевец, микрорайон Институтский Городок, 30, Владимир",http://pamiatniki-ogrady.ru/,tai-na@mail.ru,Владимир,,A,45,No,unknown,No,https://t.me/+79011401195,,https://api.whatsapp.com/send?phone=79011401195
1645,Ритуал-93 похоронное бюро,79157778994; 79049558693; 79209355361; 79157778995; 74922373376; 79157778992; 79157957236; 79300314692,"ул. Чайковского, 3Е, Владимир, Россия, Владимир",https://www.vladmemorial.ru/,vladmemorial@mail.ru,Владимир,,A,45,No,unknown,No,https://t.me/+79157778994,https://vk.com/clubsalonkamnya33,https://api.whatsapp.com/send?phone=79065589994
1646,Дм салон камня,79056132249; 74922600320; 79004758793,"Большая Нижегородская ул., 71А, Владимир, Владимир",https://pamyatniki-vladimir.ru/,holoschap1@rambler.ru,Владимир,,A,45,No,joomla,No,https://t.me/79056132249,,https://api.whatsapp.com/send?phone=79056132249
1647,Камень Памяти,79014441119; 79092726890,"Большая Нижегородская ул., 80В, Владимир, Владимир",http://каменьпамяти.рф/,kamen.pamyati@mail.ru,Владимир,,A,45,No,unknown,No,https://t.me/Камень,https://vk.com/kamen_pamyati,https://api.whatsapp.com/send?phone=79014441119
1651,Владимирская мемориальная компания,74922602223; 79157979798; 79206204411; 79607311155; 79065591994; 74922251205; 74922373520; 79612569433,"Большая Нижегородская ул., 71, Владимир, Владимир",https://www.vmkvladimir.ru/,vmk.vladimir.rf@gmail.com,Владимир,,A,45,No,joomla,No,https://t.me/+79612569433,,https://api.whatsapp.com/send?phone=79206204411
1660,Центральная Похоронная Служба,78312304343; 78312002188,"ул. Горького, 5З, Владимир, Владимир",https://gos-cps.ru/,cps_nn@mail.ru,Владимир,,A,44,Yes,unknown,No,https://t.me/cps_nn52,,
1662,Арт Гранит,79038309323,"Большая Нижегородская ул., 71, Владимир, Владимир",http://www.artgranit33.ru/,zakaz@artgranit33.ru; mailto:zakaz@artgranit33.ru,Владимир,,A,44,No,unknown,No,https://t.me/artgranit33,http://vk.com/artgranit33,https://api.whatsapp.com/send?phone=790383093230901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1650,Город Мастеров салон камня,79042541946; 74922461945,"Мостостроевская ул., 3Б, Владимир, Владимир",http://granit-reka.com/,granit-reka@yandex.ru,Владимир,,A,42,No,joomla,No,https://t.me/+79042541946,http://vk.com/salonkamnya,https://api.whatsapp.com/send?phone=790425419460901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1685,Ritual Agency,79662010281,"Судогодское ш., 37, Владимир, Владимир",https://ritualagency.ru/,,Владимир,,A,42,Yes,unknown,No,https://t.me/mk_ritual,,https://api.whatsapp.com/send?phone=79669999000
1642,Данила-Мастер изготовитель памятников,74922495060; 79022234935; 79022202052; 76270004972; 76030400756; 79201306089; 79201306131,"просп. Ленина, 42А, Владимир, Владимир",https://vladimir.danila-master.ru/,olesya.zaharova@danila-master.ru; mail@danila-master.ru; info@danila-master.ru; valeria.manasova@danila-master.ru; svetlana.ponomareva@danila-master.ru,Владимир,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
1687,Гранит памяти,79678087675,,https://vladimir.granit-pamyati.ru/,office@granit-pamyati.ru,Владимир,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
