id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1693,Ритуал Сервис,79281728203; 79281164083; 79281304010; 79281178203,"Октябрьское ш., 12Л, Волгодонск, Волгодонск",https://ритуал-сервис61.рф/,ritualservisvolgodonsk@yandex.ru,Волгодонск,,A,48,No,wordpress,No,https://t.me/79281164083,,https://api.whatsapp.com/send?phone=79281164083
1690,БМЗ Сервис,79518472323; 79515352323; 79508680796; 79885632815,"8-я Заводская ул., 22, Волгодонск, Волгодонск",https://bmz-service.ru/,,Волгодонск,,A,40,No,unknown,No,https://t.me/+79518472323,,https://api.whatsapp.com/send?phone=79508680796
1691,Похоронный дом Реквием,79287691060; 79897000303; 79185007303,"Октябрьское ш., 12Ж, Волгодонск, Волгодонск",http://реквием-вд.рф/,,Волгодонск,,A,40,No,unknown,No,https://t.me/+79287691060,,https://api.whatsapp.com/send?phone=79185007303
1700,Rritual Serbin,79281427234,"Шлюзовская ул., 20, Волгодонск, Волгодонск",https://ritual-serbin.ru/,svgritual@mail.ru; ﻿svgritual@mail.ru,Волгодонск,,A,40,No,unknown,No,https://t.me/+79281427234,,https://api.whatsapp.com/send?phone=+79281427234
1692,Доверие,79897000280,"8-я Заводская ул., 10, Волгодонск, Волгодонск",,pamyatniki-fav@mail.ru,Волгодонск,,B,37,No,unknown,No,https://t.me/pamyatniki_doverie_vd,https://vk.com/pamyatniki_doverie_vd,https://api.whatsapp.com/send?phone=79897000280
1694,Фатум,79281120066; 79188960066,"ул. Дружбы, 4А, Волгодонск, Волгодонск",http://fatum-company.ru/,fatum-2001@yandex.ru,Волгодонск,,B,35,No,unknown,No,https://t.me/+79281120066,,
1720,Данила-Мастер,79022234935; 79022202052,,https://volgodonsk.danila-master.ru/,dm-on-line@danila-master.ru; mail@danila-master.ru; info@danila-master.ru,Волгодонск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=volgodonsk,
1695,Наследие,79281212545,"ул. Энтузиастов, 43В, Волгодонск, Волгодонск",http://rmk-nasledie.ru/,rmk.nasledie@yandex.ru,Волгодонск,,B,30,No,unknown,No,https://t.me/+79281212545,,
1696,Магазин Памяти,79956167575,"Ростовская область, Волгодонск, 8-я Заводская улица, Волгодонск",,,Волгодонск,,B,30,No,unknown,No,https://t.me/+79956167575,,https://api.whatsapp.com/send?phone=79956167575
1697,Град Камня,79885812450; 79896269430,"8-я Заводская ул., 10Г, Волгодонск, Волгодонск",https://grad-kamnya.ru/,,Волгодонск,,B,30,No,unknown,No,https://t.me/+79885812450,,
1706,Изготовление памятников,79188995162,"Шлюзовская ул., 20/14, Волгодонск, Волгодонск",https://заказ-памятников.рф/,,Волгодонск,,B,25,No,unknown,No,https://t.me/+79188995162,,
1707,Камея,79281701003; 79185088668,"2-я Бетонная ул., 282, Волгодонск, Волгодонск",,,Волгодонск,,B,25,No,unknown,No,https://t.me/+79281701003,,
1714,Брамар,79895210038; 79185224747,"Морская ул., 66А, Волгодонск, Волгодонск",,,Волгодонск,,B,25,No,unknown,No,https://t.me/+79895210038,,
1718,Приют,78639127201; 78639470449,"Ростовская область, Волгодонской район, станица Романовская, Волгодонск",,,Волгодонск,,B,25,No,unknown,No,https://t.me/+78639127201,,
1722,Похоронное Бюро 'Доверие',79953775536,,https://volgodonsk.ritual-doverie.com/,ritual-doverie.com@yandex.ru,Волгодонск,,C,22,No,unknown,No,https://t.me/+79953775536,,
1698,Грааль,79889513180,"Шлюзовская ул., 20, Волгодонск, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+79889513180,,
1699,Память в Камне,79604544888,"Ростовская область, Волгодонск, 8-я Заводская улица, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+79604544888,https://vk.com/id761602070,
1701,Ангел,79034053177,"Морская ул., 7А, Волгодонск, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+79034053177,,
1703,Эль,79895306162,"ул. Энтузиастов, 13/1, Волгодонск, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+79895306162,,
1704,Харон,79381229785,"просп. Мира, 13Е, Волгодонск, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+79381229785,,
1705,Бюро Ритуальных Услуг Пантеон,79287790010,"ул. Дружбы, 12А, Волгодонск, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+79287790010,,
1708,Вуаль похоронное бюро,79525756978,"ул. Маршала Кошевого, 25, стр. 4, Волгодонск, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+79525756978,,
1709,"Память, Приют",78639255572,"Западный пер., 2А, Волгодонск, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+78639255572,,
1710,Реал,78639266930,"347360, Ростовская обл., Волгодонск г., просп. Строителей, 43, Волгодонск",,,Волгодонск,,C,20,No,unknown,No,https://t.me/+78639266930,,
