id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1763,Гранит,74963624020; 79163348090,"Октябрьская площадь, 19, Волоколамск, Волоколамск",http://granit-volok.ru/,granit581@yandex.ru,Волоколамск,,A,45,No,unknown,No,https://t.me/+74963624020,http://vk.com/granitvolok,https://api.whatsapp.com/send?phone=79163348090
1772,Небо Одно,79097535050,,https://volokolamsk.nebo-odno.ru/,op.nebo1@gmail.com,Волоколамск,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
1762,Ангелофф,79040002580; 79607115725; 79610156275; 79056081797; 79056080719; 79636958482; 79636958478; 79190541252,"Ново-Солдатская ул., 10А, Волоколамск, Волоколамск",https://pamyatnikitut.ru/,pamyatniki-tut@mail.ru; tver2@pamyatnikitut.ru,Волоколамск,,B,35,No,unknown,No,https://t.me/+79040002580,,
1767,Град-Экс гранитная мастерская,74951205544; 79254444000; 79268884444,"Московская область, Волоколамский городской округ, садоводческое некоммерческое товарищество Время, Волоколамск",http://grad-ex.ru/,,Волоколамск,,B,35,Yes,joomla,No,https://t.me/+79268884444,https://vk.com/id644504660,
1765,Ритуальная Служба Волоколамск,79267697975,"пер. Возмище, 1, Волоколамск, Волоколамск",,,Волоколамск,,B,34,No,unknown,No,https://t.me/ritual_volokolamsk,https://vk.com/ritual_volokolamsk,https://api.whatsapp.com/send?phone=79267697975
1761,Стелла-Память,79001108718,"ул. Панфилова, 9, Волоколамск, Волоколамск",https://stella-master.ru/,,Волоколамск,,B,30,Yes,unknown,No,https://t.me/+79001108718,,
1769,Студия камня,79014170429,"ул. Панфилова, 5, Волоколамск, Волоколамск",,,Волоколамск,,B,30,No,unknown,No,https://t.me/+79670591339,,https://api.whatsapp.com/send?phone=79670591339
1764,Ритуал-сервис,74963641019,"Ново-Солдатский пер., 5, Волоколамск, Волоколамск",http://www.ritual50.ru/,,Волоколамск,,B,25,No,unknown,No,https://t.me/+74963641019,,
1766,Ритуальные услуги,79268675162; 79037730618,"Пороховская ул., 1А, стр. 9, Волоколамск, Волоколамск",,,Волоколамск,,B,25,No,unknown,No,https://t.me/+79268675162,,
1768,Волоколамская Гранитка,79998574343,"Рижское ш., 26, Волоколамск, Волоколамск",http://volokolamskay-granitka.ru/,,Волоколамск,,B,25,No,unknown,No,https://t.me/+79998574343,,
1771,Изготовление памятников из гранита в Волоколамске,,,https://expomenu.ru/,,Волоколамск,,D,5,No,unknown,No,,,
