id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1832,Изготовление памятников и надгробий,79112809933,"Ленинградская область, 41К-070, Всеволожск",http://памятникищеглово.рф/,Sokolov.m74@mail.ru; sokolov.m74@mail.ru,Всеволожск,,A,43,No,tilda,No,https://t.me/+79112809933,,https://api.whatsapp.com/send?phone=791121058700901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1833,Ритуальные услуги и товары,79219451920; 79045552000; 79633007527; 79967706880; 79062688757; 79219518610; 79315323316; 79215588533; 79219060830; 78127789255; 78129612496; 78129431450,"Ленинградская область, Всеволожский район, Романовское сельское поселение, Угловское муниципальное кладбище, Всеволожск",https://www.pkgranit.ru/,,Всеволожск,,A,40,No,unknown,No,https://t.me/+79219451920,,https://api.whatsapp.com/send?phone=790455520000901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1834,Угловское муниципальное кладбище,79112604210; 79214442638,"Ленинградская область, Всеволожский район, Романовское сельское поселение, Угловское муниципальное кладбище, Всеволожск",http://uglovo-ritual.ru/,,Всеволожск,,A,40,No,unknown,No,https://t.me/+79112604210,,https://api.whatsapp.com/send?phone=791126042100901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1841,Миллениум,79111450050,"Инженерная ул., 9А, посёлок Щеглово, Всеволожск",https://millenium78.ru/,info@millenium78.ru,Всеволожск,,A,40,No,bitrix,No,https://t.me/+79111450050,,
1838,Питер-Памятник,,"Новосергиевский пр., 7, д. Старая, Всеволожск",https://питерпамятник.рф/,,Всеволожск,,B,37,No,unknown,No,https://t.me/piterpamyatnik,https://vk.com/piterpamyatnik92,https://api.whatsapp.com/send?phone=79111918712
1839,Похоронный дом № 1,78126481448; 78124253501; 77847060104,"ш. Дорога Жизни, 11В, Всеволожск, Всеволожск",https://rityal.pro/,office@rityal.pro,Всеволожск,,B,37,No,opencart,No,https://t.me/OlesyaZikeeva18111983,https://vk.com/elenaelsalieva,
1835,Ритуал,79011320474; 79219534419,"Ленинградская область, Всеволожский район, Колтушское городское поселение, кладбище Красная Горка, Всеволожск",,,Всеволожск,,B,35,No,unknown,No,https://t.me/79110338084,,https://api.whatsapp.com/send?phone=7911033808409011800018905008052849616922007080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1843,Гранитная мастерская Ильдара Тимиряева,79119263885; 70313213940; 70310000061,"Пугоревский пр., 1, корп. 1, Всеволожск, Всеволожск",https://vpk-stone.ru/,vpkstone@mail.ru,Всеволожск,,B,35,No,unknown,No,https://t.me/ildartimiryaev,,
1837,Ритуальные услуги,79818829920; 79218769167; 79811454184,"Всеволожский просп., 48, Всеволожск, Всеволожск",http://vsevritual.ru/,,Всеволожск,,B,30,No,unknown,No,https://t.me/+79818829920,,
1845,Вознесение,79111336570; 79633169888,"Россия, Ленинградская область, Всеволожский район, Рахьинское городское поселение, Всеволожск",http://v-ritual.ru/,,Всеволожск,,B,30,No,unknown,No,https://t.me/+79111336570,,
1836,Гранитные Технологии,79500211107,"Ленинградская область, Всеволожск, микрорайон Кяселево, Центральная улица, Всеволожск",http://shop.gran-tech.ru/,,Всеволожск,,B,25,No,unknown,No,https://t.me/+79500211107,https://vk.com/granit_technology,
1840,Ритуал д. Колтуши,78137071070,"Колтуши, деревня Колтуши, 32А, Всеволожск",,,Всеволожск,,C,20,No,unknown,No,https://t.me/+78137071070,,
1842,Изготовление памятников,79627197665,"Ленинградская область, Всеволожский район, Колтушское сельское поселение, кладбище Красная Горка, Всеволожск",,,Всеволожск,,C,20,No,unknown,No,https://t.me/+79627197665,,
