id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1912,Данила-Мастер,79022234935; 79022202052,"г. Вязьма, ул. Воинов",https://vyazma.danila-master.ru/,dm-on-line@danila-master.ru; mail@danila-master.ru; info@danila-master.ru,Вязьма,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=vyazma,
1906,Мастер Гранит,79190484648; 79156450754,"ул. Покровского, 12, Вязьма, Вязьма",,,Вязьма,,B,35,No,unknown,No,https://t.me/+79190484648,https://vk.com/club171981283,https://api.whatsapp.com/send?phone=79156450754
1918,гранитные,74954143223,,https://vyazma.guravli.agency/,,Вязьма,,B,35,Yes,bitrix,No,https://t.me/+74954143223,https://vk.com/guravli.agency,
1903,Ритуал Сервис,79092577722,"ул. Покровского, 12, Вязьма, Вязьма",,,Вязьма,,B,32,No,unknown,No,https://t.me/+7,,https://api.whatsapp.com/send?phone=79092577722
1905,Вяземская мемориальная компания,79621902824; 79507012260,"ул. Глинки, 4, Вязьма, Вязьма",,,Вязьма,,B,25,No,unknown,No,https://t.me/+79621902824,,
1907,Ритуал,74813142015; 79056968499; 79065168144,"ул. Степана Разина, 2А, Вязьма, Вязьма",,,Вязьма,,B,25,No,unknown,No,https://t.me/+74813142015,,
1911,Ритуальные Услуги,79065179913; 74813125252; 79261873540,"ул. Ленина, 8А, Вязьма, Вязьма",,,Вязьма,,B,25,No,unknown,No,https://t.me/+79065179913,,
1910,Ритуальная служба сервиса Обелиск,79082808280,"ул. Ленина, 21, Вязьма, Вязьма",,,Вязьма,,C,20,No,unknown,No,https://t.me/+79082808280,,
1915,ВКонтакте,,,https://vk.link/,85d71a895e71448591e0e0b21fa9e7af@stacks.vk-portal.net,Вязьма,,C,15,Yes,unknown,No,,,
1913,Гранитная мастерская,,,https://vyazma.ya67.ru/,e8503@yandex.ru,Вязьма,,D,10,No,unknown,No,,,
1916,"Памятники и надгробия в Вязьме рядом с вами: телефоны, адреса и отзывы ...",,,https://vyazma.spravka.ru/,info@vozrogdenie1.ru; mail@ritual-grad.ru,Вязьма,,D,10,No,unknown,No,,,
1908,Малахит,,"Устинкин пер., 1А, Вязьма, Вязьма",,,Вязьма,,D,5,No,unknown,No,,,
