id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1855,Гранит-Выборг,79218907185; 79218906932; 79218906945; 70412888831; 70400056745; 79218907138,"Ленинградская область, Выборгский район, посёлок Селезнёво, Выборг",http://гранит-выборг.рф/,mail@example.com; om@granit-vyborg.ru; uzh@granit-vyborg.ru; vok@granit-vyborg.ru,Выборг,,A,45,No,unknown,No,https://t.me/+79218907185,https://vk.com/granitvyborg,https://api.whatsapp.com/send?phone=79218906945
1858,Ригранд ритуальная компания,79218614252; 79213000444; 78129654227,"Ленинградское ш., 15, Выборг, Выборг",http://www.rigrand.ru/,rigrand@yandex.ru,Выборг,,A,45,No,bitrix,No,https://t.me/+79218614252,,
1867,vyborg.bilkam.ru,73833830392; 73517009492,,https://vyborg.bilkam.ru/,sales@bilkam.ru,Выборг,,A,45,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
1856,Памятник Гранит Мрамор,79218891266; 79213052008,"Московский просп., 20, Выборг, Выборг",https://pamvbg.ru/,,Выборг,,A,40,No,unknown,No,https://t.me/+79218891266,http://vk.com/public188362775,https://api.whatsapp.com/send?phone=79213052008
1864,Памятники на могилу из гранита в Выборге,78129246727; 79817199420,"г. 
 
 
 
 
 
 
 Татьяна Михайловна 
 22",https://pamyatniki-na-mogilu-spb.ru/,roks.kamen@yandex.ru; ebxf.xnzra@lnaqrk.eh,Выборг,,B,33,Yes,unknown,Yes,https://t.me/+79817199420,https://vk.com/pamyatniki_na_mogilu_v_spb,
1861,Военно-мемориальная компания гранитная мастерская,79006245681,"Гатчинский пер., 1Б, Выборг, Выборг",https://www.vmkros.ru/,,Выборг,,B,30,Yes,unknown,No,https://t.me/+79006245681,,
1857,Веста,79214239639; 79312291356,"Ильинская ул., 1А, Выборг, Выборг",,,Выборг,,B,25,No,unknown,No,https://t.me/+79214239639,https://vk.com/vestarit,
1866,Памятники из гранита в Выборге,,"г. Выборг , ул. Центральная",http://www.himbat.ru/,,Выборг,,C,15,Yes,unknown,No,,,
1865,Производственная фирма «Выборгские граниты» г. Выборг,79218686621,"г. Выборг 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
		0",http://vyborg1.ru/,,Выборг,,D,10,No,joomla,No,,,
1859,Скульптура Вяйнемейнен,,"Ленинградская область, Выборг, парк Монрепо, Выборг",,,Выборг,,D,5,No,unknown,No,,,
1860,Главные ворота,,"Ленинградская область, Выборг, парк Монрепо, Выборг",,,Выборг,,D,5,No,unknown,No,,,
1862,Колонна,,"Ленинградская область, Выборг, парк Монрепо, Выборг",,,Выборг,,D,5,No,unknown,No,,,
1863,Обелиск братьев Броглио,,"Ленинградская область, Выборг, парк Монрепо, Выборг",,,Выборг,,D,5,No,unknown,No,,,
