id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8524,Гранит Соракс,79789474763; 79780161610; 79789343022; 79788940218; 79787203792; 79786922935; 79782587046; 79785485896; 79788718785; 79788694952; 79786646141; 79782930201; 79781181944; 79788578371,"Московская ул., 3Г, Ялта, Ялта",https://granit-sorax.ru/,granitimramor.opt@mail.ru; granit-rost2000@mail.ru,Ялта,,A,56,Yes,wordpress,No,https://t.me/granitsorax,https://vk.com/club160240571,https://api.whatsapp.com/send?phone=79780161610
8516,Каменный Цветок,79784071111; 79785455550; 79781280930,"Севастопольское ш., 1, п. г. т. Ливадия, Россия, Ялта",https://xn--82-6kc5aq1api.xn--p1ai/,kam-cvet@bk.ru,Ялта,,A,50,Yes,unknown,No,https://t.me/+79785455550,,https://api.whatsapp.com/send?phone=79785455550
8517,Эталон-гранит производитель ритуальной продукции,79787202060; 79780208546; 79183787935,"Бахчисарайское ш., 19, п. г. т. Виноградное, Ялта",https://xn----7sbbl0aoodexpk5k.xn--p1ai/,etalon-granit82@ya.ru,Ялта,,A,50,Yes,unknown,No,https://t.me/+79787202060,https://vk.com/etalongranit82,https://api.whatsapp.com/send?phone=79787202060
8518,Крым-ритуал,79785207000; 79787202060,"Бахчисарайское ш., 19, п. г. т. Виноградное, Ялта",https://ритуал-гуп.рф/,myemail@sendme.ru,Ялта,,A,50,Yes,unknown,No,https://t.me/79787202060,,https://api.whatsapp.com/send?phone=79787202060
8526,granitmaster-crimea.ru,79783053042; 79781067434; 79787910581; 79788984535; 79783053043; 75004875060,,https://granitmaster-crimea.ru/,granit.master44@gmail.com; granit.office1@mail.ru; granit.officesev4@mail.ru; granit.simferopol@mail.ru,Ялта,,A,49,Yes,wordpress,Yes,https://t.me/granitmastercrimea,https://vk.com/crimea_granit,
8519,Ритуальные услуги в Ялте,79787816949,"Севастопольский пер., 7А, п. г. т. Ливадия, Ялта",http://yalta-ritual.ru/,rityal82@mail.ru,Ялта,,A,43,No,wordpress,No,https://t.me/+79787816949,,https://api.whatsapp.com/send?phone=79787816949
8520,sveca-yalta.ru,79789742324; 79789742322,"Кузнечный пер., 2А, Ялта, Ялта",https://sveca-yalta.ru/,info@sveca-yalta.ru,Ялта,,B,38,No,wordpress,No,https://t.me/+79789742324,https://vk.com/id798033829,
8527,«Гранит 82»,79787657330; 79780272712; 79787656114,,https://granit82.ru/,donate@opencart.com; info@granit82.ru,Ялта,,B,38,Yes,opencart,No,https://t.me/granit82,https://vk.com/granit82a,
8528,yalta.xn--80apbncqgt0j.xn--p1ai,79882409747; 79618559078; 79892201077; 79185568320,,https://yalta.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Ялта,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
8529,Симферопольский Форум,79787496871,,https://simferopol.in/,sevgranit.da@mail.ru,Ялта,,B,30,Yes,unknown,No,https://t.me/+79787496871,,
8522,Пифагор,79782136241; 79788178597; 73654318547,"ул. Блюхера, 22А, Ялта, Ялта",,,Ялта,,B,25,No,unknown,No,https://t.me/+79782136241,,
8521,Ялтинская похоронная компания,79784010000,"ул. Красина, 1Б, п. г. т. Виноградное, Ялта",,,Ялта,,C,20,No,unknown,No,https://t.me/+79784010000,,
8523,Памятники,,"ул. Калинникова, 4, корп. 1, Ялта, Ялта",,,Ялта,,C,15,No,unknown,No,,,https://api.whatsapp.com/send?phone=79785507273
8525,ЧП Андрющенко,,"Московская ул., 7, Ялта, Ялта",,,Ялта,,D,5,No,unknown,No,,,
