id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2557,Память в камне,79322004422; 79220044404; 79220448844,"пер. Ворошилова, 8/6, Заводоуковск, Заводоуковск",http://www.memory72.ru/,,Заводоуковск,,A,40,No,unknown,No,https://t.me/+79322004422,,https://api.whatsapp.com/send?phone=79220044404
2568,Данила-Мастер,73452518091; 79022234935; 73452564139; 73452492575; 79022202052; 76270002932; 76070150598; 79299015038; 79260147668; 79299014714; 79251477102,"г. Заводоуковск,    ул. Декабристов",https://tyumen.danila-master.ru/,natalia.povarnitsyna@danila-master.ru; olga.krutolevich@danila-master.ru; mail@danila-master.ru; yulia.stankeeva@danila-master.ru; info@danila-master.ru; sofia.tits@danila-master.ru; yulia.chepurenko@danila-master.ru; olga.doncova@danila-master.ru,Заводоуковск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=tyumen,
2558,Похоронное бюро Память,73454261971; 73454270102,"Солнечный пер., 7А, Заводоуковск, Заводоуковск",https://www.ritual-zavod.ucoz.ru/,ritual-zavod@mail.ru,Заводоуковск,,B,35,No,unknown,No,https://t.me/+73454261971,,
2556,Кованые решения производственная компания,79048877330,"пер. Ворошилова, 8/9, Заводоуковск, Заводоуковск",http://portfolios.ru/,,Заводоуковск,,B,25,No,unknown,No,https://t.me/+79048877330,https://vk.com/kovka4036,
2559,Доверие,79199205252,"ул. Хахина, 26, стр. 8, Заводоуковск, Заводоуковск",https://doverie-rit.ru/,,Заводоуковск,,B,25,No,unknown,No,https://t.me/+79199205252,,
2563,Заводоуковская Ритуальная Служба,79523421427; 79504870107; 79088712482,"ул. Хахина, 26, Заводоуковск, Заводоуковск",,,Заводоуковск,,B,25,No,unknown,No,https://t.me/+79523421427,,
2564,Мастер камня,79123823510,"Шоссейная ул., 3, Заводоуковск, Заводоуковск",,,Заводоуковск,,C,20,No,unknown,No,https://t.me/+79123823510,,
2566,Магазин ритуальных принадлежностей,79829300825,"ул. Фрунзе, 27, Заводоуковск, Заводоуковск",,,Заводоуковск,,C,20,No,unknown,No,https://t.me/+79829300825,,
2560,Памятники,,"пер. Ворошилова, 8/1, Заводоуковск, Заводоуковск",,,Заводоуковск,,D,5,No,unknown,No,,,
2561,Магазин ритуальных товаров,,"ул. Хахина, 4, Заводоуковск, Заводоуковск",,,Заводоуковск,,D,5,No,unknown,No,,,
2562,Похоронное агентство Ритуал,,"ул. Хахина, 26, Заводоуковск, Заводоуковск",,,Заводоуковск,,D,5,No,unknown,No,,,
2565,Памятники и надгробия,,"ул. Теплякова, 1В, Заводоуковск, Заводоуковск",,,Заводоуковск,,D,5,No,unknown,No,,,
