id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2665,Гранит-Арт офис гранитная мастерская,79647997621; 79773857212; 74993911272,"Алабушевская ул., 11, Зеленоград, Зеленоград",https://granit-art.ru/,granit-art.pavel@yandex.ru,Зеленоград,,A,55,Yes,wordpress,No,https://t.me/granitartpavel,https://vk.com/granitart,https://api.whatsapp.com/send?phone=79647997621
2666,Гранит-Мемориал,79852394494; 79265347635; 79031292498,"Алабушевская ул., 4, стр. 4, Зеленоград, Зеленоград",http://granitmemorial.ru/,2010_sokol@mail.ru,Зеленоград,,A,45,No,unknown,No,https://t.me/+79852394494,https://vk.com/public211982273,https://api.whatsapp.com/send?phone=798523944940901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2668,Ам Память,79776979768; 71674809447,"Москва, Зеленоградский административный округ, Привокзальная площадь, 1, Зеленоград",https://am-pamyat.clients.site/,,Зеленоград,,A,44,No,unknown,No,https://t.me/Am_Pamyat,https://vk.com/Am_Pamyat,https://api.whatsapp.com/send?phone=797769797680901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2691,Алабушевское кладбище,79154025050; 79674025050; 79671880099,"Россия, Московская область, Ленинградское шоссе, 26, Зеленоград",https://alabushevskoe-kladbishhe.ru/,granitnay-masterscay@yandex.ru; alabushevskoe-kladbishhe@yandex.ru,Зеленоград,,A,43,Yes,wordpress,No,https://t.me/+79154025050,,
2673,Град-Экс гранитная мастерская,74951205544; 74951096677,"Москва, Зеленоград, Крюковская эстакада, Зеленоград",,,Зеленоград,,A,42,Yes,unknown,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
2693,Небо Одно,79097535050,,https://zelenograd.nebo-odno.ru/,op.nebo1@gmail.com,Зеленоград,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
2678,ИП Дружинин,74955421514; 79160017577; 74993945243; 79269436898; 74956466249; 79162218771; 79585815286; 74951505304; 74951913915; 74950677368; 79057754778; 79219924925,"п. г. т. Ржавки, к1А, Зеленоград",https://firmlist.ru/,mail@firmlist.ru; tenavges@lnaqrk.eh,Зеленоград,,A,40,Yes,unknown,No,https://t.me/+74955421514,,
2686,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Проектируемый пр. № 5557, 1, стр. 4, Зеленоград, Зеленоград",https://pamyatniki.moscow/,info@pamyatniki.moscow,Зеленоград,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
2687,Зеленоградское кладбище - Изготовление памятников из гранита TalkingStone,74957954158; 79037954158,"Россия, Москва, Зеленоградский административный округ, Северное Зеленоградское кладбище, Зеленоград",http://talkingstone.ru/,info@talkingstone.ru,Зеленоград,,B,38,No,wordpress,No,https://t.me/+79037954158,,
2674,Каменный дворик,74959691199; 79168679944,"Сосновая аллея, 2, стр. 2, Зеленоград, Зеленоград",https://granitnaya-masterskaya-moscow.ru/,,Зеленоград,,B,35,Yes,unknown,No,https://t.me/+74959691199,,
2675,Гратея производственная компания,79672778030,"к317Ас1, Зеленоград, Зеленоград",http://www.gratea.ru/,gratea18@mail.ru,Зеленоград,,B,35,No,wordpress,No,https://t.me/Grateya,,
2689,Чашниково кладбище,74951389858,"Московская область, городской округ Солнечногорск, деревня Чашниково, кладбище Чашниково, Зеленоград",http://9-dney.ru/,,Зеленоград,,B,35,No,unknown,No,https://t.me/+74951389858,,https://api.whatsapp.com/send?phone=74951389858
2692,Данила-Мастер,74991132525; 79022234935; 74957452726; 79201305838; 79022202052; 76270001630; 76040840298; 79201306095; 79201306102; 79201306101; 79250093760,,https://zelenograd.danila-master.ru/,svetlana.pohodenko@danila-master.ru; dm-on-line@danila-master.ru; elizaveta.hechiyan@danila-master.ru; ilia.borisov@danila-master.ru; ksenia.malyutina@danila-master.ru; mail@danila-master.ru; info@danila-master.ru; evgenia.belova@danila-master.ru,Зеленоград,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=zelenograd,
2667,Зеленоградское кладбище ритуальное агентство,74996100000,"4921-й пр., 3, стр. 1, Зеленоград",https://ritual.mos.ru/,,Зеленоград,,B,30,Yes,unknown,No,https://t.me/+74996100000,https://vk.com/club191713926,
2669,Феникс Гранит,79771854882; 74951424234,"к403Ас9, Зеленоград, Зеленоград",http://памятник-зеленоград.рф/,,Зеленоград,,B,30,No,unknown,No,https://t.me/+79771854882,,
2670,Памятники 77,79859472100; 79271337242,"Заводская ул., 21А, стр. 18, Зеленоград, Зеленоград",http://pamyatniki77.ru/,,Зеленоград,,B,30,No,unknown,No,https://t.me/+79859472100,,
2695,РуссКомГранит,79207977700; 71052076624,,https://zelenograd.russkomgranit.ru/,info@russkomgranit.ru,Зеленоград,,B,30,No,unknown,No,https://t.me/+79207977700,https://vk.com/id581983790,
2697,Памятники на могилу под заказ — Зеленоград,74993676027; 74993676063; 70281060289,,https://mkv.ru/,info@mkv.ru,Зеленоград,,B,30,Yes,bitrix,No,https://t.me/+74993676027,,
2688,Похороны Ритуал,74993488521,"к1001, Зеленоград, Зеленоград",http://pohoroni-pravoslavnie.ru/,,Зеленоград,,B,25,No,unknown,No,https://t.me/+74993488521,,
2672,"Кресторезная мастерская, Кресты деревянные, Дубовые на могилу, Поклонные кресты",79299037254; 79104766859,"д. Льялово, 65Б, Зеленоград",http://krest.su/,krestorezy@yandex.ru,Зеленоград,,C,23,No,tilda,No,https://t.me/+79299037254,,
2676,Зеленоградский Межрайонный Гранитный Цех,74997351483,"4921-й пр., 3, стр. 1, Зеленоград, Зеленоград",,,Зеленоград,,C,20,No,unknown,No,https://t.me/+74997351483,,
2677,Памятники-зел.ру,74994998999,"Зеленоград, к1462, Зеленоград",,,Зеленоград,,C,20,No,unknown,No,https://t.me/+74994998999,,
2680,Рождественское кладбище,79691188211,"Московская область, Дмитровский городской округ, Рождественское кладбище, Зеленоград",,,Зеленоград,,C,20,No,unknown,No,https://t.me/+79691188211,,
2682,Ритуальное бюро Гранит,79687329060,"Центральная ул., 2, село Алабушево, Зеленоград",,,Зеленоград,,C,20,No,unknown,No,https://t.me/+79687329060,,
2683,Памятники,79255046017,"Москва, Зеленоградский административный округ, район Силино, Зеленоград",,,Зеленоград,,C,20,No,unknown,No,https://t.me/+79255046017,,
2684,Гран-Карелия,74959712554,"Московская область, городской округ Солнечногорск, деревня Дурыкино, Зеленоград",,,Зеленоград,,C,20,No,unknown,No,https://t.me/+74959712554,,
2694,Zelangel,79772662947,,http://zelangel.ru/,,Зеленоград,,C,20,No,unknown,No,https://t.me/+79772662947,,
