id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2753,zlatoust.bilkam.ru,73833830392; 73517009492,"г. Златоуст, ул. Таганайская",https://zlatoust.bilkam.ru/,sales@bilkam.ru,Златоуст,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
2733,Уреньга,79193415887; 79026102757; 73039306538,"ул. Ленина, 200, Златоуст, Златоуст",http://urenga.ru/,urenga-granit@yandex.ru,Златоуст,,A,45,No,unknown,No,https://t.me/79193415887,https://vk.com/pamyatniki_granit_mramor,https://api.whatsapp.com/send?phone=79193415887
2752,ДЕЛО,79000717912; 79000717920,,https://zlatoust.pamyatniki74.ru/,89000717912@mail.ru,Златоуст,,A,40,Yes,wordpress,No,https://t.me/Kamennoe_delo_rf,https://vk.com/blagoustrojstvachelyabinsk,
2732,Памятники,79227158520; 79048048054; 79194022007; 79128976910; 79518005605,"3, квартал Северо-Запад, 1-й квартал Северо-Запад, Златоуст, Златоуст",https://zlatoust.spravka.city/,support@spravka.city,Златоуст,,B,35,No,unknown,No,https://t.me/+79227158520,https://vk.com/kusamramor,
2735,Память,73513621291; 73513622323; 79514669194,"Таганайская ул., 8/10, Златоуст, Златоуст",,,Златоуст,,B,25,No,unknown,No,https://t.me/+73513621291,https://vk.com/paminikizlatoust,
2740,Ангел,79128975377; 79823030007,"просп. имени Ю.А. Гагарина, 1-я линия, 19А, Златоуст, Златоуст",,,Златоуст,,B,25,No,unknown,No,https://t.me/+79128975377,,
2751,Изготовлениепамятниковна могилу вЗлатоусте,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://zlatoust.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Златоуст,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
2734,Харон,79049331355,"ул. Аникеева, 13, Златоуст, Златоуст",,,Златоуст,,C,20,No,unknown,No,https://t.me/+79049331355,https://vk.com/haronzlt,
2736,Памятники От Производителя,79124741905,"ул. имени Н.П. Полетаева, 1, Златоуст, Златоуст",,,Златоуст,,C,20,No,unknown,No,https://t.me/+79124741905,,
2737,Златсервис-К,73513622255,"ул. Скворцова, 32, Златоуст, Златоуст",,,Златоуст,,C,20,No,unknown,No,https://t.me/+73513622255,,
2738,Памятники и Тротуарная плитка,79026099240,"ул. имени Н.П. Полетаева, 150А, Златоуст, Златоуст",,,Златоуст,,C,20,No,unknown,No,https://t.me/+79026099240,,
2749,Изготовлениепамятниковна могилу вЗлатоустепо цене от...,79618559078; 79892201077; 79882409747; 79649062340,,https://zlatoust.xn--80apbncqgt0j.xn--p1ai/,,Златоуст,,C,17,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
2739,Магазин искусственных цветов,,"ул. Румянцева, 11, Златоуст, Златоуст",,,Златоуст,,D,5,No,unknown,No,,,
2741,Памятники и надгробия,,"ул. Аносова, 98, Златоуст, Златоуст",,,Златоуст,,D,5,No,unknown,No,,,
2742,Сфинкс мастерская по изготовлению памятников,,"просп. имени Ю.А. Гагарина, 8-я линия, 5, Златоуст, Златоуст",,,Златоуст,,D,5,No,unknown,No,,https://vk.com/pamyatniki_sfinks,
2744,Монумент,,"ул. Аносова, 221А, Златоуст, Златоуст",,,Златоуст,,D,5,No,unknown,No,,,
